topic,idx,q,a,context,datatype,attitude,group
性别,14550,跨性别女，假装是男生是什么体验 ？,“假装男生”这个说法很有意思。,0,0,0,跨性别者
性别,6905,为什么有些女生会反感「贤惠」这个词？,因为一些人认为”贤惠“是”服从丈夫指挥“的代行词。,0,1,3,反感贤惠
性别,7609,要求20多岁的女生贤惠，现实吗？,只要你钱给的够，别说贤惠让女人把你当大爷供着都行。,0,1,3,反感贤惠
性别,13550,你在什么时候感觉到了社会对男性的歧视？,最近的货拉拉呗，不论死者跳车还是坠车都只是她自己单方面行为导致，结果全世界媒体都用嫌疑人受害人来称呼当事人。,1,2,2,歧视男性
性别,8050,有同性恋可以说说自己的故事吗？,谢邀。 本人是受，在初中的时候才觉得自己是同性恋，暗恋自己的同桌好久，还和他的女朋友做成了闺蜜。,0,0,0,同性恋
性别,9770,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,我曾经有幸遇到一位非常优秀、干练、气场强大的女教授，教英文写作。,0,0,0,家庭主妇
性别,13839,既然女权是平权，为什么她们从不正视男性受到的压迫？,人只会给自己讨权利，谁特么给自己揽义务,1,2,3,歧视男性
性别,11178,现在的性别对立什么时候可以结束？,等下一代女性开始还债的时候。,1,2,2,性别对立
性别,9352,怕因生孩子而耽误事业的女性，她们的事业有多好？,你错了，除了少数事业心暴强的女性，对于绝大多数有生育意愿的女性来说，不敢生孩子恰恰是因为事业还不够好。,1,2,2,女性职业
性别,11169,现在的性别对立什么时候可以结束？,经济崩溃的时候。 男女生理结构的区别导致女生天生拥有繁殖权。,1,2,2,性别对立
性别,8308,女同性恋如何做到 30 岁以后的生活不可悲？,马上步入30，很小就知道自己喜欢女生，很小就开始为未来筹划，到如今，觉得生活尚可，现状还算满意吧。,0,1,2,女同性恋
性别,12325,作为一名性少数者，你有想哭的时候吗？,在学校有次扭到脚，半夜送医院。,0,0,0,性少数群体
性别,7578,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,我觉得男人想找个逆来顺受的家庭主妇和女人想找个有钱活好的过着好吃懒做的日子都不是什么问题，不喜欢可以不搭理，不接触。,1,2,2,反感贤惠
性别,11316,大学女生成绩普遍比男生好吗，为什么？,作为一个女生，我来说一下自己的观点吧。,0,0,0,性别成绩
性别,11042,现在的性别对立什么时候可以结束？,直至新的经济繁荣出现，让无论男女的人都忙着赚钱，作为一个暂时的结束。,0,0,0,性别对立
性别,9931,人生目标是做家庭主妇很丢人吗,我并不觉得做家庭主妇有什么不好。,0,1,2,家庭主妇
性别,12385,如何看待《中国性少数群体生存状况》调查报告的发布？,为什么少数群体被歧视。,1,2,2,性少数群体
性别,9293,做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？,作为一个女性，一个数据分析师，要说枯燥不，枯燥的，有时候会觉得很枯燥，甚至很烦躁。,0,2,3,女性职业
性别,8705,有什么辨别les的方法吗？,搞各种百合cp。 （比如，the9…,0,1,3,女同性恋
性别,11462,大学女生成绩普遍比男生好吗，为什么？,我快毕业了，感觉成绩很重要，但又没那么重要，关键还是把知识，技能，经历吃到肚子里，成绩反而是次之的。,0,0,0,性别成绩
性别,11768,中国的性别歧视现象严重吗？,这个不知道，反正结婚不用改姓是真的。,0,0,0,性别歧视
性别,10417,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,不想破坏很多人沉溺的美好感觉中，但是现实是，一个女性长期不工作，没有产出，连自己父母都嫌弃。,0,1,3,家庭主妇
性别,10850,如何看待微博上愈演愈烈的性别对立矛盾？,我们宿舍一般称微博为女性厕所，贴吧为男性厕所。,1,2,3,性别对立
