topic,idx,q,a,context,datatype,attitude,group
职业,26751,护理专业的学生不想当护士怎么办？,大学的时候暑假兼职去过月子中心，两班倒，工作比较单一，基本上就是跟宝宝和宝妈打交道。,0,0,0,护理职业
职业,27274,为什么我国部分理科生会看不起文科生？,先说结论：大部分理科生鄙视的是水平不够的文科生，同样我们鄙视没文化的理科生。,0,2,3,文理科
职业,24878,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,你见过现在还有任何一个领导让自己的子女进车间当工人的吗，随便哪个级别，小卖部部长不算。,0,1,2,工人
职业,26048,为什么「工人」和「农民」成了不体面的代名词？,因为最先进的生产力不掌握在他们手里。,0,0,0,工人农民
职业,25058,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,这就要从工厂的变迁说起。,1,2,2,工人
职业,25856,“农民工”，“新生代农民工”的称呼是否具有歧视性？,爷爷年轻的时候给地主家放牛，看着地主家的孩子吃着大鱼大肉。,0,0,0,工人农民
职业,26685,护理专业的学生不想当护士怎么办？,统一回复一下，已经开始工作一段时间啦，但是目前因疫情原因需要防控，所以现在暂时被安排去预检分诊支援了，在这里。,0,0,0,护理职业
职业,24945,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,看了鞍钢宪法，我觉得我们现在就是在吃老本的同时，还在糟蹋。,0,2,3,工人
职业,25629,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,这个问题马克思列宁等早都解释过了。,0,0,0,工人
职业,24769,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,工厂举起大旗反抗义务教育，高等教育。,0,0,0,工人
职业,28533,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,你有两块钱，只能买一瓶水；可是如果你有五块钱，你可以买水、可乐、雪碧、果汁…,0,0,0,职业歧视
职业,25627,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,这是压迫，不得不去，活下去才有机会反抗。,1,1,3,工人
职业,27800,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,农民工在现实世界建造高楼大厦，和程序员在虚拟世界构建app网占并没有本质区别。,0,1,2,新生代农民工/程序员
职业,28267,程序员工作五年后一般怎样了?,对我来说是5年前，2016年工资嘛22k，北京某某自称中国公司的美国公司，家是长沙的，第二年买了房子。,0,0,0,程序员
职业,24909,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,以前单身男叫单身汉，现在单身男叫女生狗，所以不是工人地位下降了，是一部分人已经不能被社会接受成为人，而是狗。,1,1,3,工人
职业,27750,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,提问者能不能不要直接造谣。,0,0,0,新生代农民工
职业,27863,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,大部分，真的是农民进城，培训几个月上岗。,0,1,3,新生代农民工
职业,28585,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,强有余食弱有平生，已经是理想状态下物质丰富的人类共存体系了。,0,0,0,职业歧视
职业,26294,人大代表建议倡导媒体不使用「农民工」等语言，「农民工」这一称谓是否存在歧视性？,挺好的，我支持将“农民工”改为“工农爷爷”或者“工农领导。,0,1,2,工人农民
职业,26601,作为男生学护理真的是会有一个很好的发展吗？,说认真的，看我周围同学的就业情况，我感觉男生学护理是真的好就业。,0,1,2,护理职业
职业,27062,知乎里的护士大佬们能回答一下护理研究生毕业后的工作现状嘛？,嗯，其实，读完研究生兑现是个漫长的过程，关键是找到自己想要努力的方向。,0,1,2,护理职业
职业,26432,为什么大家都不愿意学护理？,emmm上大学之前就很排斥学医。,0,0,0,护理职业
职业,26024,为什么「工人」和「农民」成了不体面的代名词？,唯物主义哲学认为，这种问题最好的回答是回避，所以，俺从浏览的记录上删它一回它出来一回，呵呵。,0,0,0,工人农民
职业,25213,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,我也想在，公司干幾十年…,0,0,0,工人
职业,27050,知乎里的护士大佬们能回答一下护理研究生毕业后的工作现状嘛？,去高校的话，得是博士研究生学历，当然，也可以去医院，只要你身体素质、心理素质能够胜任医院的工作。,1,1,2,护理职业
职业,24964,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,在以前来说，工人是很吃香的，一个是因为卖苦力，卖技术就能养家糊口，很让人骄傲的岗位；另一个是因为以前是工业化时代。,0,1,2,工人
职业,25423,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,中国工人也愿意在一家工厂干一辈子。,0,0,0,工人
职业,27732,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,有些人，对不上屁股，整点支票子就不知道自己什么阶级了，国家这不来提个醒了…,1,2,3,新生代农民工
职业,26349,人大代表建议倡导媒体不使用「农民工」等语言，「农民工」这一称谓是否存在歧视性？,重点不是称呼，而是如何不让农民工或者农民被歧视——这才是问题的本质，我不知道农民为什么会被歧视，没有农民。,0,0,0,工人农民
职业,25781,“农民工”，“新生代农民工”的称呼是否具有歧视性？,个人角度来看，并不觉得有。,1,0,0,工人农民
职业,27676,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,确实很低，北大x鸟培训1个月就能上岗。,1,2,3,新生代农民工
职业,27511,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,我不理解京城老Ye们是怎么想的。,0,1,3,新生代农民工
职业,27074,为什么我国部分理科生会看不起文科生？,因为层次低，在自己的圈子里被鄙视。,1,2,3,文理科
职业,27789,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,只要你给我钱你说我是你的腿毛都行。,0,0,0,新生代农民工
职业,25295,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,借用马云的一句，为什么员工会离职，一钱给少了，二心受委屈了。,0,2,2,工人
职业,27735,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,国家不是把程序员定位农民工，而是把农村户口在外打工的定位农民工。,0,0,0,新生代农民工
职业,26774,护理专业的学生不想当护士怎么办？,我倒觉得学了不要浪费，你可以选择出国当护士，比较好，我现在也是美国RN。,0,0,0,护理职业
