topic,idx,q,a,context,datatype,attitude,group
地域,5003,潮汕人给你的感觉是什么样子的？,真的印象不好。 (不是针对所有潮汕人，也不是地域黑。,1,1,3,潮汕人
地域,2339,怎么看待东北人？,说实话，不是很想说的复杂，也不想扩大到什么层面。,1,0,0,东北人
地域,2154,为什么我周围的绝大多数东北人的家境都比我好，有些甚至好特别多?,因为东北早就实现了工业化，有谁听说工人比农民还穷的？,1,1,2,东北人
地域,501,上海的地域歧视有多严重？,怎么说呢？ 其实不要觉得自己很重要，很多土著根本不关心你们从哪里来，也不关心你们来干嘛，做什么工作。,1,1,2,上海人
地域,3542,河南人在外省是一种什么样的体验?,河南人永远觉得别的地方，都在歧视他们。,0,1,3,河南人
地域,3511,河南人为什么被称作中国的吉普赛人？,看了那么多黑河南人的文字后基本麻木，地域歧视这个东西很难一两代人改变。,0,2,2,河南人
地域,152,上海人真的都比较有钱吗？,移民上海第三代，第一代是江浙一代富有人家，在上海买了几幢小洋楼举家搬迁过来，十年那么DL后，房子收光，只留。,0,0,0,上海人
地域,3334,为什么最近一年河南人的口碑突然变好了？,可能因为郭冬临被告了？,1,1,3,河南人
地域,1309,和上海人一起工作要注意什么？,提升自己！ 和谁工作都一样，至于语言你可以大模大样的说普通话。,1,2,2,上海人
地域,3777,中国被地域歧视黑的最严重的地方是哪里？,中国地域黑的最严重就是河南！,0,2,3,浙江人
地域,883,作为一个沪漂，哪一瞬间被上海人震惊到了？,两年前的四月，我在校门口被偷了手机。,0,2,3,上海人
地域,2992,大家有亲身经历过地域歧视吗?,去浙江玩，被浙江人看不起。,0,2,3,地域歧视
地域,2896,大家有亲身经历过地域歧视吗?,我是个一年未回湖北的在深的武汉人。,0,0,0,地域歧视
地域,2257,怎么看待东北人？,匿名了。 南方读书，认识几个东北人。,0,1,2,东北人
地域,4914,大家对潮汕人的印象是什么？,印象中潮汕妹纸的颜值在广东算比较高的，下班时间去桂花岗火车站十三行蹲一下就知道了。,0,1,1,潮汕人
地域,127,上海人真的都比较有钱吗？,遇到过一个江西的女孩，聊天的时候她说了一句，为什么你们上海市区的房子那么小，卖的还那么贵？,1,1,3,上海人
地域,1579,东北人在南方好混吗？,我匿名保命啊。 东北人在南方就是“火星人来到地球上”—，谜一样的自带优越感和自信心。,0,1,3,东北人
地域,4245,浙江会在不久未来下落到第二梯队吗？,我浙就是典型的中国式长子。,1,2,2,浙江人
地域,3855,外省人怎么看待浙江人?,亚洲的犹太人。 工作后，因为公司的很多供应商都在浙江那边，经常往浙江那边跑。,1,1,3,浙江人
地域,4209,浙江会在不久未来下落到第二梯队吗？,怎么，黑完东北，河南，陕西，安徽，河北。,1,0,0,浙江人
地域,170,上海人真的都比较有钱吗？,是真的。 普遍都挺有钱的。,1,1,2,上海人
地域,399,上海的地域歧视有多严重？,1，上海人有条不成文的规定，在上海分单双号，逢单就全体去火车站歧视外地人，逢双就跑到机场歧视外地人。,1,2,3,上海人
地域,2276,怎么看待东北人？,实话实说，没怎么接触的时候，一直觉得东北人豪爽仗义，说话大方幽默，结合区域的重工业背景。,1,1,2,东北人
地域,2083,为什么我周围的绝大多数东北人的家境都比我好，有些甚至好特别多?,收入尚可，物价中等，房地产没有过度开发，辽宁四线城市，父母教师公务员，一个月工资+公积金差不多1万六七。,1,1,2,东北人
地域,871,作为一个沪漂，哪一瞬间被上海人震惊到了？,外婆原苏州人，50年代嫁到上海。,0,0,0,上海人
地域,1575,东北人在南方好混吗？,各方面衡量吧总体来说不错，黑龙江人在浙江。,0,0,0,东北人
地域,1435,我想知道你们对上海人的评价是怎样的？,在上海工作过几年，接触过纯上海人。,0,0,0,上海人
地域,2403,最近知乎/微博上有很多人在不断的控诉东北的社会现象和东北人，对此你怎么看？,坐火车卧铺，一个南方人好像生意不太顺利。,0,0,0,东北人
地域,3568,说起河南人，你的第一印象是什么？,我大学刚毕业，合租就碰到了河南人，一直忍了很久，今天实在忍不了了！,0,1,3,河南人
地域,1910,东北人脾气真的有那么暴躁吗？,感觉没新疆的爆。 前两天去那边旅游。,0,0,0,东北人
地域,2562,最近知乎/微博上有很多人在不断的控诉东北的社会现象和东北人，对此你怎么看？,有人说网上说东北的好多都是东北人自己。,0,2,3,东北人
地域,1367,我想知道你们对上海人的评价是怎样的？,本人310，我来说一下。,1,1,3,上海人
